codmpio,depto2010,mpio2010,codmpio1928,depto1928,mpio1928,match,men1918,women1918,pop1918,houses1928,families1928,men1928,women1928,pop1928,men21_1928,ink
5001,Antioquia,Medellin,1001,Antioquia,Medellin,1,34775,44371,79146,19926,18742,54170,65874,120044,26122,
5002,Antioquia,Abejorral,1002,Antioquia,Abejorral,1,9662,10006,19668,2502,3904,12438,12655,25093,4977,
5004,Antioquia,Abriaqui,1003,Antioquia,Abriaqui,1,1157,1042,2199,493,385,1219,1181,2400,470,
5021,Antioquia,Alejandria,1004,Antioquia,Alejandria,1,846,882,1728,466,391,1073,1103,2176,435,
5030,Antioquia,Amaga,1005,Antioquia,Amaga,1,4534,4498,9032,2048,1906,5524,5717,11241,2332,
5031,Antioquia,Amalfi,1006,Antioquia,Amalfi,1,5008,5243,10251,1800,1592,4673,5003,9676,2045,
5034,Antioquia,Andes,1007,Antioquia,Andes,1,11084,11340,22424,4548,3827,11342,11957,23299,4452,
5036,Antioquia,Angelopolis,1008,Antioquia,Angelopolis,1,2057,2060,4117,1049,861,2576,2696,5272,1068,
5038,Antioquia,Angostura,1009,Antioquia,Angostura,1,2869,4494,7363,1916,1506,4247,4741,8988,1791,1
5040,Antioquia,Anori,1010,Antioquia,Anori,1,3340,3468,6808,1529,1252,3110,3618,6728,1261,1
5042,Antioquia,Santafe De Antioquia,1011,Antioquia,Antioquia,1,5088,5752,10840,2310,2090,6122,6481,12603,2740,
5044,Antioquia,Anza,1012,Antioquia,Anza,1,1607,1690,3297,737,649,2143,2027,4170,1012,
5059,Antioquia,Armenia,1013,Antioquia,Armenia,1,2594,2814,5408,1342,1134,3509,3516,7025,1490,
5079,Antioquia,Barbosa,1014,Antioquia,Barbosa,1,5489,5833,11322,2309,2155,7150,6796,13946,3151,1
5086,Antioquia,Belmira,1015,Antioquia,Belmira,1,1539,1755,3294,663,519,1917,2092,4009,794,1
5088,Antioquia,Bello,1016,Antioquia,Bello,1,2923,3336,6259,1549,1493,4569,5126,9695,1902,
5091,Antioquia,Betania,1017,Antioquia,Betania,1,,,,1694,1413,4884,4454,9338,1990,
5093,Antioquia,Betulia,1018,Antioquia,Betulia,1,2982,3015,5997,1290,1270,4532,3937,8469,1825,
5101,Antioquia,Ciudad Bolivar,1019,Antioquia,Bolivar,1,6422,6412,12834,2274,2107,7081,6989,14070,3005,
5113,Antioquia,Buritica,1020,Antioquia,Buritica,1,2974,3047,6021,824,836,2498,2723,5221,1046,
5120,Antioquia,Caceres,1021,Antioquia,Caceres,1,1065,905,1970,447,405,1548,837,2385,968,
5125,Antioquia,Caicedo,1022,Antioquia,Caicedo,1,1660,1749,3409,661,574,1669,1781,3450,616,
5129,Antioquia,Caldas,1023,Antioquia,Caldas,1,2803,3060,5863,1477,1318,3788,4303,8091,1554,
5134,Antioquia,Campamento,1024,Antioquia,Campamento,1,2420,2458,4878,1133,979,2643,2724,5367,1127,
5138,Antioquia,Cañasgordas,1025,Antioquia,Cañasgordas,1,3958,4172,8130,2454,2136,7600,7429,15029,3534,
